
> wordle-scratch-pad@0.0.0 noodle
> node index.js

prev: 77, now 78, 416
prev: 78, now 78, 417
prev: 78, now 78, 418
prev: 78, now 78, 419
prev: 78, now 78, 420
prev: 78, now 78, 421
prev: 78, now 78, 422
prev: 78, now 78, 423
prev: 78, now 79, 424
prev: 79, now 79, 425
prev: 79, now 79, 426
prev: 79, now 79, 427
prev: 79, now 79, 428
prev: 79, now 79, 429
prev: 79, now 79, 430
prev: 79, now 79, 431
prev: 79, now 79, 432
prev: 79, now 79, 433
prev: 79, now 79, 434
prev: 79, now 79, 435
prev: 79, now 80, 436
prev: 80, now 80, 437
prev: 80, now 80, 438
prev: 80, now 80, 439
prev: 80, now 80, 440
prev: 80, now 80, 441
prev: 80, now 80, 442
prev: 80, now 80, 443
prev: 80, now 80, 444
prev: 80, now 80, 445
prev: 80, now 80, 446
prev: 80, now 80, 447
prev: 80, now 81, 448
prev: 81, now 81, 449
prev: 81, now 81, 450
prev: 81, now 81, 451
prev: 81, now 81, 452
prev: 81, now 81, 453
prev: 81, now 81, 454
prev: 81, now 81, 455
prev: 81, now 81, 456
prev: 81, now 81, 457
prev: 81, now 81, 458
prev: 81, now 81, 459
prev: 81, now 81, 460
prev: 81, now 81, 461
prev: 81, now 81, 462
prev: 81, now 81, 463
prev: 81, now 81, 464
prev: 81, now 82, 465
prev: 82, now 82, 466
prev: 82, now 82, 467
prev: 82, now 82, 468
prev: 82, now 82, 469
prev: 82, now 82, 470
prev: 82, now 82, 471
prev: 82, now 82, 472
prev: 82, now 82, 473
prev: 82, now 82, 474
prev: 82, now 82, 475
prev: 82, now 82, 476
prev: 82, now 82, 477
prev: 82, now 82, 478
prev: 82, now 82, 479
prev: 82, now 82, 480
prev: 82, now 83, 481
prev: 83, now 83, 482
prev: 83, now 83, 483
prev: 83, now 83, 484
prev: 83, now 83, 485
prev: 83, now 83, 486
prev: 83, now 83, 487
prev: 83, now 83, 488
prev: 83, now 84, 489
prev: 84, now 84, 490
prev: 84, now 84, 491
prev: 84, now 84, 492
prev: 84, now 84, 493
prev: 84, now 85, 494
prev: 85, now 85, 495
prev: 85, now 85, 496
prev: 85, now 85, 497
prev: 85, now 85, 498
prev: 85, now 85, 499
prev: 85, now 85, 500
prev: 85, now 85, 501
prev: 85, now 86, 502
prev: 86, now 86, 503
prev: 86, now 86, 504
prev: 86, now 86, 505
prev: 86, now 86, 506
prev: 86, now 87, 507
prev: 87, now 87, 508
prev: 87, now 87, 509
prev: 87, now 87, 510
prev: 87, now 87, 511
prev: 87, now 87, 512
prev: 87, now 88, 513
prev: 88, now 88, 514
prev: 88, now 89, 515
prev: 89, now 89, 516
prev: 89, now 89, 517
prev: 89, now 89, 518
prev: 89, now 89, 519
prev: 89, now 89, 520
prev: 89, now 89, 521
prev: 89, now 89, 522
prev: 89, now 89, 523
prev: 89, now 89, 524
prev: 89, now 89, 525
prev: 89, now 89, 526
prev: 89, now 89, 527
prev: 89, now 89, 528
prev: 89, now 89, 529
prev: 89, now 89, 530
prev: 89, now 89, 531
prev: 89, now 89, 532
prev: 89, now 89, 533
prev: 89, now 89, 534
prev: 89, now 89, 535
prev: 89, now 89, 536
prev: 89, now 89, 537
prev: 89, now 89, 538
prev: 89, now 89, 539
prev: 89, now 89, 540
prev: 89, now 89, 541
prev: 89, now 89, 542
prev: 89, now 89, 543
prev: 89, now 89, 544
prev: 89, now 89, 545
prev: 89, now 89, 546
prev: 89, now 89, 547
prev: 89, now 89, 548
prev: 89, now 89, 549
prev: 89, now 89, 550
prev: 89, now 89, 551
prev: 89, now 89, 552
prev: 89, now 89, 553
prev: 89, now 89, 554
prev: 89, now 89, 555
prev: 89, now 89, 556
prev: 89, now 89, 557
prev: 89, now 89, 558
